query	fact	neural_evidence	neural_label	neural_full	neural_corrected	Labeller's Opinion
what did imus ranch sell for	The Imus Ranch was sold.	Radio host Don Imus selling New Mexico ranch to expand charity reach. Shock jock hopes the $32 million price tag for the 2,400-acre ranch can help fund more causes. Don Imus is selling his 2,400-acre ranch in Santa Fe for $32 million. (Photo: imusranchforsale.com) Citing his poor health and other issues, Don Imus and his wife, Deirdre Coleman, have placed their sprawling New Mexico ranch on the market for $32 million. For the last 16 years, the 2,400-acre site has been the home of the Imus Ranch children's charity, a working cattle ranch that provides kids with cancer (or those who have lost siblings to SIDS) an opportunity to experience the life of the American cowboy.	Supported	supported. the evidence clearly states that don imus and his wife have placed their ranch on the market for $32 million. this supports the factual statement that "the imus ranch was sold."	NA	Supported
someone definition	It refers to an unspecified or unknown person.	someone definition: Someone is defined as an unnamed person, or refers to a person of authority or importance. (pronoun) If you want a person to bring you a cookie but you do not care at all who brings you the cookie, this is an example of when you w...	Supported	supported.  the evidence provided clearly states that "someone" is defined as an unnamed person. this aligns with the statement that "it" refers to an unspecified or unknown person. therefore, the evidence supports the statement.	NA	Supported
when making a payment what is an aba number	It is used to identify a particular financial institution in the United States.	An ABA number (also known as routing number or routing transfer number) is a sequence of nine numeric characters used by banks to identify specific financial institutions within the United States.n ABA number is used for wires and electronic automatic clearing house (ACH) transactions such as electronic funds transfer, direct deposit, direct payment of consumer bills, e-checks, and tax payments, among others.	Supported	supported.  explanation: the evidence provided clearly states that an aba number is used by banks to identify specific financial institutions within the united states. this aligns with the statement that it is used to identify a particular financial institution in the united states. therefore, the evidence supports the statement.	NA	Supported
hot air balloon festival in maryland	Maryland hosts an annual hot air balloon festival called the Great Chesapeake Balloon & Wine Festival.	The Great Chesapeake Balloon & Wine Festival will take place on Aug. 5-6 at Triple Creek Winery in Cordova, Md. In its first year, the event had three hot air balloons at the Easton/Newnam Field Airport. After moving locations, the event was able to incorporate 10 balloons.	Supported	supported. the evidence clearly states that there is an event called the great chesapeake balloon & wine festival taking place in maryland. it mentions the specific location, dates, and the fact that the event incorporates hot air balloons. therefore, the evidence supports the factual statement that maryland hosts an annual hot air balloon festival called the great chesapeake balloon & wine festival.	NA	Supported
how cucumbers are grown in a greenhouse	The greenhouse provides a controlled environment.	How to grow cucumbers in a greenhouse. Greenhouse types can be planted in a warm, humid greenhouse that is kept at a temperature of at least 15c (60F). Plant greenhouse cucumbers at a spacing of 2 plants per grow bag or 45cm (18) apart.	Supported	supported. the evidence provided explains how to grow cucumbers in a greenhouse, indicating that a controlled environment is necessary. the mention of maintaining a specific temperature and humidity level supports the statement that a greenhouse provides a controlled environment.	NA	Supported
blue sky charge controller price	The price range is from around $100 to over $500.	Blue Sky Energy Solar Boost SB2000E Charge Controller. Price:$229.68 This 25-amp solar charge controller is for 12-volt systems. It mounts in a 5-11/16 x 3-15/16 cut-out and is wired from the rear. This controls very ...	Supported	supported. the evidence provided includes a specific product, the blue sky energy solar boost sb2000e charge controller, which is priced at $229.68. this falls within the stated price range of "from around $100 to over $500." therefore, the evidence supports the factual statement.	NA	Supported
what is nrn	Another possible meaning for NRN could be a specific acronym for a domain or organization that is not widely known.	For other uses, see NRN (disambiguation). NRN is a television station originating in Coffs Harbour, Australia owned by Southern Cross Austereo, affiliated to Network Ten. The station was formally a partnership between NRN-11 Coffs Harbour (launched 23 January 1965) and RTN-8 Lismore (launched 12 May 1962).	Supported	supported. the evidence provided supports the statement that another possible meaning for nrn could be a specific acronym for a domain or organization that is not widely known. the evidence mentions nrn as a television station in coffs harbour, australia, which indicates that nrn can have a different meaning in a specific context, unrelated to a widely known domain or organization.	NA	Neither
what kind of oil is good for dry hair	Jojoba oil is good for dry hair.	While using conditioner apply it first at the ends as hair is driest there. One of the effective home remedy for dry hair is Jojoba oil as it penetrates into hair shaft and lubricates hair. Pour 4 tablespoon of jojoba oil in a bowl and message gently over the wet hair. Wrap hair with towel then shampoo it.	Supported	supported.  the evidence provided states that jojoba oil is an effective home remedy for dry hair as it penetrates into the hair shaft and lubricates the hair. this aligns with the factual statement that jojoba oil is good for dry hair.	NA	Supported
how much do surrogates get paid	Compensation for surrogates can vary widely.	How much do surrogates get paid? Surrogates receive paid compensation ranging from $39,450 to $52,450, depending on factors including the type of pregnancy and the number of previous pregnancies (surrogate mother experience).	Supported	supported.  the evidence provided directly supports the factual statement that compensation for surrogates can vary widely. it states that surrogates receive paid compensation ranging from $39,450 to $52,450, depending on factors such as the type of pregnancy and the number of previous pregnancies. this aligns with the idea that the compensation can vary significantly.	NA	Supported
rna primase definition biology	RNA primase is an enzyme.	Primase is an enzyme that synthesizes short RNA sequences called primers. These primers serve as a starting point for DNA synthesis. Since primase produces RNA molecules, the enzyme is a type of RNA polymerase.Primase functions by synthesizing short RNA sequences that are complementary to a single-stranded piece of DNA, which serves as its template.ince primase produces RNA molecules, the enzyme is a type of RNA polymerase.	Supported	supported. the evidence clearly states that primase is an enzyme that synthesizes short rna sequences called primers. it also explains that primase functions by synthesizing rna molecules, making it a type of rna polymerase. therefore, the evidence supports the factual statement that rna primase is an enzyme.	NA	Supported
number of grams in pound	One pound is equivalent to 453.59 grams.	1 pound = 453.59237 gram. 1 pound = 453.59 grams 1 gram = .0022046 pounds = 1/453.59 pounds (approx). For the best answers, search on this site https://shorturl.im/EBncz There are 453.5924 grams per pound. It should be noted that generally, a gram is a unit of mass and a pound is a unit of weight. So to do this carefully, one has to actually specify what value of gravity is being used. Conventionally, this is taken to be standard gravity g=9.80665 m/s^2, leading to 1 pound = 453.59237 grams. Also, there a confusing array of types of pounds, including avoirdupois, troy, tower, merchant, metric and London pounds (see reference).	Supported	supported.  the evidence provided confirms that 1 pound is indeed equivalent to 453.59 grams. the evidence includes multiple statements and calculations that explicitly state the conversion factor between pounds and grams, with the final approximation being 1 pound = 453.59 grams. therefore, the evidence supports the factual statement.	NA	Supported
most popular news networks	Fox News is a popular news network worldwide.	Fox News. Fox News is a cable channel of famous Fox Entertainment Group. It enjoys the 3rd position on our list of top 10 most popular news channels of the world in 2013. It is a highly popular channel with in United States of America. Fox News is considered as one of the most authentic source of information; it is being viewed by millions of viewers all over the world.	Supported	supported. the evidence provided states that fox news is a highly popular channel within the united states and is considered one of the most authentic sources of information. it also mentions that it is viewed by millions of viewers worldwide. this aligns with the statement that fox news is a popular news network worldwide.	NA	Supported
what is mercury's orbital period	Mercury is a planet.	The orbit of Mercury is the most eccentric of the planets in our Solar System. The planet has an orbital period of 87.969 Earth days. At perihelion it is 46,001,200 km from the Sun and at aphelion it is 69,816,900 km, a difference of 23,815,700 km giving it an eccentricity of 0.21.	Supported	supported. the evidence provided states that mercury has an orbit with a high eccentricity, which means its orbit is elongated and not circular like most other celestial bodies. this aligns with the definition of a planet, as planets are celestial objects that orbit a star in an elliptical or nearly circular path. therefore, the evidence supports the factual statement that mercury is a planet.	NA	Supported
can you absorb metals from plants	Hyperaccumulation means that certain plants can accumulate unusually high levels of certain metals in their tissues without suffering toxicity.	Water and Soil Pollutant-Absorbing Plants. Plants called hyperaccumulators absorb high levels of pollutants without being poisoned themselves. Hyperaccumulators take up toxins in soil or water -- including heavy metals, radioactive contaminates or petroleum products -- in a process called phytoremediation. Plant tissues degrade the toxins, and metals are reclaimed through composting or incineration.	Supported	supported. the evidence provided states that hyperaccumulators, which are plants that can absorb high levels of pollutants without being poisoned, take up toxins in soil or water, including heavy metals. this aligns with the factual statement that hyperaccumulation means certain plants can accumulate unusually high levels of certain metals in their tissues without suffering toxicity.	NA	Supported
qsen definition of safety	The QSEN definition of safety applies to both patients and providers	QUALITY IMPROVEMENT (QI) & SAFETY (QSEN) Definition: Use data to monitor the outcomes of care processes and use improvement methods to design and test changes to continuously improve the quality and safety of health care systems thus minimizing the risk of harm to patients and providers through both system effectiveness and individual performance.	Supported	supported.  the evidence provided explicitly states that the qsen definition of safety aims to minimize the risk of harm to both patients and providers. therefore, the evidence supports the statement that the qsen definition of safety applies to both patients and providers.	NA	Supported
what is a chromosomes function and purpose	Chromosomes function during cell division.	Cell division is a continuous process that must occur for an organism to function, whether for growth, repair or reproduction. During cell division stages, it is the chromosome that is responsible for the replication and distribution of DNA amongst new cells.Strangely enough, the functions of chromosomes in plant cells are the same as the function of chromosomes in animal cells.ell division is a continuous process that must occur for an organism to function, whether for growth, repair or reproduction. During cell division stages, it is the chromosome that is responsible for the replication and distribution of DNA amongst new cells.	Supported	supported. the evidence clearly states that during cell division, chromosomes are responsible for the replication and distribution of dna among new cells. this aligns with the factual statement that chromosomes function during cell division.	NA	Supported
where is caba	Ciudad Autónoma de Buenos Aires is located in Argentina.	The city of Buenos Aires, the capital of Argentina, lies on the southern shore of the Rio de la Plata River in east-central Argentina. This largest city in Argentina covers 203 km² (78.5 sq mi) of land area while the metropolitan of Buenos Aires is spread over 4,758 km² (1,837.1 sq mi) area. Geographically, Buenos Aires city is situated in province of same name, but it is politically autonomous. The Rio de la Plata on the east and the Riachuelo on south are the natural borders of the city. The metro offers shelter for about 13 million people.	Supported	supported. the evidence clearly states that buenos aires, the capital of argentina, is located on the southern shore of the rio de la plata river in east-central argentina. it also mentions that buenos aires city is situated in the province of the same name, but it is politically autonomous. therefore, the evidence supports the factual statement that ciudad autónoma de buenos aires is located in argentina.	NA	Supported
how does transformer work	The magnetic field induces an electrical current in the other coil.	A transformer is an electrical device that transfers electrical energy between two or more circuits through electromagnetic induction. A varying current in one coil of the transformer produces a varying magnetic field, which in turn induces a voltage in a second coil. Power can be transferred between the two coils through the magnetic field, without a metallic connection between the two circuits.	Supported	supported.  the evidence provided clearly explains the process of electromagnetic induction in a transformer. it states that a varying current in one coil produces a varying magnetic field, which then induces a voltage in a second coil. this aligns with the statement that the magnetic field induces an electrical current in the other coil. therefore, the evidence supports the statement.	NA	Supported
what are the blood types in order of rarity	The third most common blood type is B.	2) B Negative. B Negative blood is the second most rare type. 1 in every 67 people are born with B- Blood (About 1.5% of the population) 3) AB Positive. AB Positive blood type is the third most rare. 1 in every 29 people are born with AB+ Blood (About 3.4% of the population) 4) A Negative.	Supported	supported. the evidence provided states that ab positive blood type is the third most rare, which aligns with the statement that the third most common blood type is b.	NA	Neither
how much ibuprofen can you take in a day	It is important to follow the recommended dosage on the label or as prescribed by a doctor.	Yes, you indeed can take 2400mg of ibuprofen in 1 day. A common dosage for people using ibuprofen to maintain chronic pain is an 800mg prescription ibuprofen tablet 3 times a day which comes out to 2400. The maximum daily reccomended dosage without doctor supervision is 1200mg/day. Obviously if you're getting the 800mg prescription ones you have doctor supervision.	Supported	supported.  the evidence provided supports the factual statement that it is important to follow the recommended dosage on the label or as prescribed by a doctor. the evidence explains that the maximum daily recommended dosage without doctor supervision is 1200mg/day, but if one is prescribed 800mg prescription ibuprofen tablets, they have doctor supervision and can take 2400mg in a day. this aligns with the importance of following the recommended dosage as prescribed by a doctor.	NA	Supported
response when parents bring baby home	Parents feel a sense of responsibility towards their newborn.	Given the opportunity, parents and babies naturally form a strong relationship with each other. This relationship is often called the parent-infant bond. For the parent, this bond is woven of love and responsibility. For the infant, it is his first -- and perhaps most important -- relationship.	Supported	supported.  the evidence provided clearly states that parents form a strong relationship with their newborn, which is often referred to as the parent-infant bond. it further explains that this bond is woven with love and responsibility from the parent's perspective. therefore, the evidence supports the factual statement that parents feel a sense of responsibility towards their newborn.	NA	Supported
when did william whyte conduct his study	The study was conducted in the 1970s.	Mayor Lindsay’s Planning Commission asked William Whyte, an urbanist and sociologist who had previous worked with the Commission on the 1969 Plan for New York City, to conduct the study. The essay contends that Whyte’s prior experience with Lindsay’s Planning Commission was formative of his methodological approach.	Supported	supported.  the evidence provided states that william whyte, who conducted the study, had previous experience working with mayor lindsay's planning commission on the 1969 plan for new york city. this suggests that the study was conducted during the same time period, which aligns with the statement that it was conducted in the 1970s.	NA	Supported
erp software definition	ERP software provides real-time visibility and control over core business operations.	ERP generally provides an integrated real-time view of core business processes, using common databases. maintained by a database management system. ERP systems track business resources−cash, raw materials, production capacity−and the status of business commitments: orders, purchase orders, and payroll.	Supported	supported.  the evidence provided clearly states that erp software provides an integrated real-time view of core business processes and tracks various business resources and commitments. this aligns with the factual statement that erp software provides real-time visibility and control over core business operations.	NA	Supported
who sang i would give anything i own	The song was originally performed by the band Bread.	Everything I Own was originally sung by the band Bread. Although many people think this song is about a break up, David Gates wrote this song for his deceased father. In 1974, at the proposal of his producer Lloyd Chambers, Jamaican singer Ken Booth recorded a smooth reggae cover version, which topped the UK charts.	Supported	supported. the evidence clearly states that "everything i own" was originally sung by the band bread. it provides information about the song's origin and its connection to david gates, the songwriter. therefore, the evidence supports the statement that the song was originally performed by the band bread.	NA	Supported
how many lives were lost in the rana plaza	The number of lives lost in the Rana Plaza collapse was 1,134.	It was a year ago that the Rana Plaza garment factory in the Bangladesh capital, Dhaka, collapsed, taking with it the lives of 1,133 people. 13-year-old survivor and her rescuer meet one year on from the collapse of the garment factory that killed more than 1300. Anna Khatun (R), one of the victims of the Rana Plaza building collapse, is seen with the rescuer Didar Hossain (L) at Dhaka Airport Railway station in Dhaka Photo: FIROZ AHMED.	Supported	supported. the evidence clearly states that the rana plaza collapse took the lives of 1,133 people, which aligns with the statement that the number of lives lost was 1,134.	NA	Supported
define hemolytic reactions	Hemolytic reactions can result in various symptoms.	Immunologic reaction. Acute hemolytic reactions are defined according to Serious Hazards of Transfusion (SHOT) as fever and other symptoms/signs of haemolysis within 24 hours of transfusion; confirmed by one or more of the following: a fall of Hb, rise in lactate dehydrogenase (LDH), positive direct antiglobulin test (DAT), positive crossmatch This is due to destruction of donor red blood cells by preformed recipient antibodies.	Supported	supported.  the evidence provided supports the statement that hemolytic reactions can result in various symptoms. the evidence describes acute hemolytic reactions that occur within 24 hours of transfusion and are characterized by symptoms/signs of hemolysis, such as a fall in hb (hemoglobin), rise in ldh (lactate dehydrogenase), positive direct antiglobulin test (dat), and positive crossmatch. these symptoms and laboratory findings indicate the destruction of donor red blood cells by preformed recipient antibodies, which aligns with the statement that hemolytic reactions can lead to various symptoms.	NA	Supported
what are cra	CRA can refer to different things depending on the context.	A Clinical Research Associate (CRA), also called a clinical monitor or trial monitor, is a health-care professional who performs many activities related to medical research, particularly clinical trials.	Supported	supported.  the evidence provided supports the factual statement that cra can refer to different things depending on the context. the evidence specifically mentions that cra can refer to a clinical research associate, also known as a clinical monitor or trial monitor, who performs activities related to medical research, particularly clinical trials. this demonstrates that the term cra can have different meanings depending on the specific context in which it is used.	NA	Neither
what is the definition of experience modifier	Experience modifier is a numerical value.	Experience modifier or experience modification is a term used in the American insurance business and more specifically in workers' compensation insurance. It is the adjustment of annual premium based on previous loss experience. Usually three years of loss experience are used to determine the experience modifier for a workers' compensation policy.	Supported	supported.  the evidence provided confirms that the experience modifier is indeed a numerical value. it explains that the experience modifier is used to adjust the annual premium based on previous loss experience, and it is determined using three years of loss experience. this aligns with the statement that the experience modifier is a numerical value.	NA	Supported
honolulu chinese new year celebration	The celebration is in honor of the Chinese New Year.	Honolulu, Hawaii – Chinese Lunar New Year Celebrations Chinese New Year is a lunar calendar, which means it falls between mid-January and mid-February. Chinese New Year is just not celebrated in China, but is also celebrated in other parts of the world, especially where there is a large Chinese Community. In 2018, Chinese New Year will be celebrated on Friday, February 16, 2018.	Supported	supported. the evidence states that chinese new year is celebrated in other parts of the world, especially where there is a large chinese community. it also provides the specific date of the celebration in 2018, which falls within the mid-january to mid-february timeframe mentioned in the statement. therefore, the evidence supports the statement that the celebration is in honor of the chinese new year.	NA	Supported
definition of prefect	A prefect has the authority to perform certain administrative, disciplinary, or ceremonial duties.	Prefect (from the Latin praefectus, substantive adjectival form of praeficere : put in front, i.e., in charge) is a magisterial title of varying definition, but which, basically, refers to the leader of an administrative area.	Supported	supported.  the evidence provided states that a prefect is the leader of an administrative area, which aligns with the statement that a prefect has the authority to perform certain administrative duties. therefore, the evidence supports the factual statement.	NA	Supported
